HKK	111	49	44,1%	7	7	100,0%	19	11	57,9%	27	11	40,7%	237	16	41	24,1%	1 451	34	209	16,7%	130	106	81,5%	595	501	84,2%	34	26	2 313	131
JHC	73	35	47,9%	3	1	33,3%	20	13	65,0%	56	23	41,1%	257	36	67	40,1%	1 791	158	545	39,3%	201	171	85,1%	697	657	94,3%	25	30	2 472	197
JHM	238	140	58,8%	11	10	90,9%	39	30	76,9%	11	10	90,9%	564	52	109	28,5%	2 572	112	1 062	45,6%	691	659	95,4%	1 752	1 579	90,1%	56	54	4 636	203
KVK	35	6	17,1%	1	0	0,0%	6	2	33,3%	4	3	75,0%	76	5	4	11,8%	619	29	111	22,6%	58	37	63,8%	228	187	82,0%	13	0	827	55
LBK	101	19	18,8%	2	2	100,0%	13	11	84,6%	5	4	80,0%	150	12	23	23,3%	832	42	178	26,4%	131	114	87,0%	558	508	91,0%	13	45	1 612	41
MSK	303	185	61,1%	11	9	81,8%	30	27	90,0%	39	33	84,6%	439	51	96	33,5%	2 923	137	764	30,8%	435	403	92,6%	1 642	1 575	95,9%	50	93	4 627	422
OLK	137	57	41,6%	2	2	100,0%	18	14	77,8%	3	1	33,3%	231	10	56	28,6%	1 413	42	388	30,4%	190	187	98,4%	689	668	97,0%	35	62	2 474	204
PAK	74	17	23,0%	0	0	#DIV/0!	14	13	92,9%	2	2	100,0%	129	4	24	21,7%	683	38	183	32,4%	112	103	92,0%	493	471	95,5%	9	48	1 776	80
PHA	365	145	39,7%	33	25	75,8%	74	37	50,0%	34	24	70,6%	828	41	135	21,3%	3 257	160	989	35,3%	742	532	71,7%	2 212	1 786	80,7%	86	125	4 811	242
PLK	114	85	74,6%	3	3	100,0%	17	15	88,2%	9	9	100,0%	179	5	39	24,6%	1 240	71	321	31,6%	122	91	74,6%	489	414	84,7%	55	22	2 216	136
STC	104	40	38,5%	0	0	#DIV/0!	23	14	60,9%	3	3	100,0%	287	17	42	20,6%	2 016	87	388	23,6%	189	204	107,9%	591	638	108,0%	31	58	3 118	124
ULK	144	82	56,9%	2	1	50,0%	19	13	68,4%	19	19	100,0%	240	16	52	28,3%	1 269	78	515	46,7%	204	145	71,1%	761	620	81,5%	36	73	2 877	168
VYS	81	46	56,8%	0	0	#DIV/0!	11	10	90,9%	29	24	82,8%	165	11	59	42,4%	1 623	78	688	47,2%	124	107	86,3%	454	424	93,4%	16	22	2 017	64
ZLK	83	25	30,1%	1	1	100,0%	13	10	76,9%	2	2	100,0%	186	8	45	28,5%	1 106	213	252	42,0%	158	151	95,6%	477	448	93,9%	12	21	1 808	138
